family.pov	homicide.rate
5.06	1.021
7.18	33.32800000000002
10.32	58.44500000000001
10.84	123.59000000000005
5.81	2.182
17.62	19.782000000000007
15.57	12.751999999999999
11.68	4.122000000000001
12.97	12.874000000000008
3.31	3.516000000000001
17.44	4.4910000000000005
10.57	14.468
10.93	4.339000000000001
15.49	5.8260000000000005
17.55	2.4590000000000005
8.18	41.339000000000006
6.2	3.6020000000000003
14.86	1.225
2.74	3.284
4	15.62100000000001
7.99	33.44000000000001
7.02	3.6789999999999994
18	2.284
13.41	9.041000000000002
4.91	1.134
17.36	7.415000000000001
11.91	44.29800000000002
24.24	58.26100000000002
20.39	41.01700000000003
8.81	4.482000000000001
17.12	2.8450000000000006
14.21	5.285
13.68	4.2170000000000005
13.91	6.593000000000001
13.02	47.81800000000002
6.71	34.243
26.83	17.771000000000004
9.54	8.874000000000002
5.99	0.29499999999999993
15.45	87.26500000000006
8.26	3.0410000000000004
18.5	10.958000000000004
15.01	21.667000000000012
8.4	2.0440000000000005
19.69	22.888000000000005
13.3	10.210000000000003
15.92	34.330000000000005
12.59	70.70300000000003
10.5	37.908
10.87	36.81200000000002
12.28	11.72
8.5	31.41800000000001
8.71	3.766000000000001
4.67	10.692999999999998
22.25	6.854000000000001
7.35	8.500000000000004
9.4	4.497000000000001
9.13	4.549
10.07	9.619000000000003
7.63	4.192
21.47	21.51300000000001
12.36	6.42
13.99	30.74000000000001
12.19	9.836000000000004
3.51	2.91
7.73	1.298
10.84	2.9700000000000006
5.51	7.906000000000002
9.89	2.8240000000000003
5.56	27.20300000000001
19.38	34.45100000000003
8.56	7.3500000000000005
5.12	14.956
12.89	4.492000000000001
2.36	9.332000000000004
11.44	3.15
16.42	10.701000000000002
8.46	1.147
12.19	5.658000000000002
14.14	4.204
12.27	4.37
15.57	32.062000000000005
14.48	12.211000000000004
5.01	26.13500000000001
8.94	5.182000000000001
11.94	20.107000000000003
15.98	149.3650000000001
13.68	1.977
7.17	2.5240000000000005
3.29	1.388
10.5	1.71
6.17	0.751
17.63	4.307000000000001
8.3	17.267
7.75	25.318000000000012
16.12	3.488000000000001
9.68	4.176000000000001
11.38	16.514000000000006
15.27	17.82400000000001
15.38	13.011000000000005
9.68	5.624
15.1	12.442000000000009
10.12	4.215000000000001
7.7	2.172
12.01	1.684
8.13	1.052
14.82	4.638
11.98	4.594000000000001
9.44	5.964000000000001
12.25	2.9110000000000005
12.61	6.551
7.09	19.433999999999997
9.78	33.818000000000005
16.21	11.474000000000006
15.2	2.18
14.37	6.394000000000002
13.5	26.352000000000007
12.99	50.86500000000003
11.48	26.40900000000001
5.36	5.005000000000001
20.99	86.36200000000002
17.96	40.70000000000003
4.84	29.002000000000017
9.45	31.32100000000001
22.1	6.295000000000002
14.67	7.264
5.59	6.529000000000001
8.36	14.340000000000005
8.57	9.401
9.78	3.4790000000000005
16.95	42.845
21.7	10.583000000000004
23.74	17.322
13.68	11.223
6.71	5.914000000000001
7.5	2.261
10.8	23.582000000000008
11.94	2.4230000000000005
12.39	21.200000000000003
17.64	9.146000000000003
10.5	61.08000000000004
6.63	2.4210000000000003
9.83	2.2910000000000004
3.83	13.423000000000007
11.6	31.499000000000006
8.96	85.28100000000003
20	11.621
21.03	7.492999999999999
12.86	12.007000000000003
15.01	7.333000000000001
14.09	55.545000000000044
9.54	4.904
6.01	2.008
12.67	2.188
13.26	1.724
12.73	2.7410000000000005
17.82	15.516000000000004
5.2	4.191000000000001
8.42	10.547000000000002
15.43	3.8540000000000005
17.84	67.88400000000001
12.58	28.998000000000005
4.38	3.3840000000000003
16.3	8.195
17.72	5.375000000000002
9.97	6.867000000000002
7.23	1.54
7.2	4.985000000000001
8.05	9.857
12.47	56.723000000000035
21.46	2.3690000000000007
13.1	35.87600000000001
11.84	4.219000000000001
8.95	3.238
13.16	15.763000000000009
15.94	8.448000000000004
10.81	6.745000000000001
15.36	7.551000000000001
20.35	37.08600000000002
21.6	8.580000000000005
7.32	0.954
8.94	3.1310000000000002
8.38	1.221
19.77	18.653
11.71	3.621
11.09	8.581000000000001
12.12	32.544000000000004
8.47	10.348000000000003
23.2	6.973000000000002
11.84	4.309000000000001
9.14	3.455000000000001
13.4	29.17100000000001
20	16.48300000000001
12.72	5.870000000000001
11.71	8.905000000000001
8.39	5.062000000000001
12.55	54.412000000000006
13.6	67.49100000000006
15.54	1.5120000000000002
20.57	10.331000000000003
